Parelhas,2408904,parelhense,TIAGO DE MEDEIROS ALMEIDA,513.507,21611,39.67,98.3,0.676,10.42,39909.2605,37633.89004,17558.01,
Rio do Fogo,2408953,rio-foguense,M&Aacute;RCIO LUIZ PEREIRA BARBOSA,151.097,10961,66.94,98.8,0.569,6.29,33221.69393,34242.72209,15090.46,
Passa e Fica,2409100,passa-fiquense,FLAVIANO CORREIA LISBOA,42.137,13667,263.43,97,0.606,6.94,29748.49492,26993.79074,9241.46,
Passagem,2409209,passagense,DIKSON MESGRAEL BEZERRA JUNIOR,41.215,3114,70.24,98.2,0.589,-,13875.96096,12682.96873,11050.36,
Patu,2409308,patuense,RIVELINO CAMARA,319.135,12861,37.49,96.8,0.618,8.7,30050.93294,27109.45446,10975.10,
Santa Maria,2409332,santa-mariense,RANIERY SOARES CAMARA,219.570,5689,21.69,97.7,0.590,-,0.001,0.001,13208.86,
Pau dos Ferros,2409407,pau-ferrense,MARIANNA ALMEIDA NASCIMENTO,259.959,30802,106.73,95.5,0.678,13.89,59848.10733,60559.64779,19008.79,
Pedra Grande,2409506,pedra-grandense,PEDRO HENRIQUE DE SOUZA SILVA,221.167,3163,15.90,97.1,0.559,-,23781.91021,22217.36944,73661.56,
Pedra Preta,2409605,pedra-pretense,PAULO HENRIQUE BILINHO FILHO,294.985,2419,8.78,98.5,0.558,-,14169.85643,12078.19898,12210.87,
Pedro Avelino,2409704,pedro-avelinense,JOS&Eacute; ALEXANDRE SOBRINHO,952.755,6591,7.53,98.8,0.583,-,19178.262,17245.35175,9179.50,
Pedro Velho,2409803,pedro-velhense,DEJERLANE MACEDO,192.708,14881,73.24,98.8,0.568,10.42,33447.26454,34021.18599,9718.42,
Pend&ecirc;ncias,2409902,pendenciano,FLAUDIVAN MARTINS CABRAL,419.137,15411,32.05,97.7,0.631,19.48,40711.72683,36830.61953,36116.49,
Pil&otilde;es,2410009,pilonense,C&Iacute;CERO SABINO NETO,82.690,3900,41.76,97.9,0.614,27.03,15508.50504,12708.18993,9888.95,
Po&ccedil;o Branco,2410108,po&ccedil;o-branquense,EDI CARLOS ALEXANDRE DE SOUZA OLIVEIRA,230.401,15646,60.54,95,0.587,19.61,28507.36788,29631.69773,7647.86,
Portalegre,2410207,portalegrense,JOSE AUGUSTO DE FREITAS REGO,110.054,7944,66.51,98.5,0.621,25.64,20800.86847,19115.76775,8181.55,
Porto do Mangue,2410256,porto-manguense,HIPOLITON SAEL HOLANDA MELO,361.237,6605,16.36,97.2,0.590,-,26624.442,28206.94339,24926.83,
Serra Caiada,2410306,serra caiadense,JO&Atilde;O MARIA ANDRADE FURTADO FILHO,217.539,10646,52.39,95.4,0.563,13.89,25861.328,24412.3784,8315.00,
Pureza,2410405,purezense,JOAO DA FONSECA MOURA NETO,504.294,9825,16.70,99.1,0.567,24.19,22032.55431,22762.91492,13075.55,
Rafael Fernandes,2410504,rafael-fernandense,FRANCISCO BRUNO FERREIRA COSTA,78.231,5158,59.98,96.3,0.608,-,N&atilde;o informado,N&atilde;o informado,9134.88,
Rafael Godeiro,2410603,rafael-godeirense,CLEVIL&Acirc;NDIA SAMARA DE VASCONCELOS BELARMINO,100.073,3214,30.61,100,0.654,-,15727.18999,14492.60388,11165.10,
Riacho da Cruz,2410702,riacho-cruzense,MARCOS AUR&Eacute;LIO DE PAIVA R&Ecirc;GO,127.223,3648,24.88,98.8,0.584,-,14210.76403,13110.18051,9643.76,
Riacho de Santana,2410801,riacho-santanense,DAVI CASSIO FERNANDES DA SILVA,128.106,4194,32.44,99.7,0.591,-,15484.13213,15309.84727,9202.76,
Riachuelo,2410900,riachuelense,JO&Atilde;O BAS&Iacute;LIO NETO,262.887,8310,26.88,96.8,0.592,26.67,17606.91593,18921.55079,8922.23,
Rodolfo Fernandes,2411007,rodolfo-fernandense,FRANCISCO WILTON CAVALCANTE MONTEIRO,154.840,4457,28.53,99,0.604,37.97,17724.4474,15544.44232,10081.25,
Tibau,2411056,tibauense,LIDIANE MARQUES DA COSTA,169.365,4173,21.79,97.8,0.635,35.71,26768.46372,27562.65125,25093.85,
Ruy Barbosa,2411106,rui-barbosense,FRANCISCO FELIPE DA SILVA,125.809,3584,28.58,98.7,0.605,18.87,14657.76209,12961.56348,9854.53,
Santa Cruz,2411205,santa-cruzense,IVANILDO FERREIRA LIMA FILHO,624.356,40295,57.33,95.7,0.635,15.21,80717.48198,74276.88449,16468.77,
Santana do Matos,2411403,santanense,MARIA ALICE SILVA,1422.268,11808,9.73,97.6,0.591,24.79,29416.09076,28283.36512,10392.24,
Santana do Serid&oacute;,2411429,santanense,HUDSON PEREIRA DE BRITO,188.403,2699,13.41,99.2,0.642,28.57,13273.92839,10730.663,12692.64,
Santo Ant&ocirc;nio,2411502,santo-antoniense,RAULISON DE SENA RIBEIRO,301.082,24422,73.79,97.9,0.620,10.1,46132.72683,47617.81675,9911.53,
S&atilde;o Bento do Norte,2411601,s&atilde;o-bento-nortense,JO&Atilde;O MARIA MONTENEGRO DA SILVA,288.761,2687,10.30,98.7,0.555,-,21531.03806,19593.25249,128296.89,
S&atilde;o Bento do Trair&iacute;,2411700,trairiense,JOSE ARACLEIDE DE ARAUJO,190.818,4541,20.46,92.9,0.595,-,14996.93917,13082.05989,9572.76,
S&atilde;o Fernando,2411809,s&atilde;o-fernandense,GENILSON MEDEIROS MAIA,404.427,3606,8.41,96.8,0.608,-,14488.55771,13262.50763,15669.89,
S&atilde;o Francisco do Oeste,2411908,oestense,LUSIMAR PORFIRIO DA SILVA,75.588,4281,51.25,96.6,0.628,25.97,14569.36324,11347.59612,10985.52,
S&atilde;o Gon&ccedil;alo do Amarante,2412005,gon&ccedil;alense,PAULO EM&Iacute;DIO DE MEDEIROS,249.800,104919,351.91,95.8,0.661,14.81,249237.64433,210442.45932,15666.61,
S&atilde;o Jo&atilde;o do Sabugi,2412104,sabugiense,ANIBAL PEREIRA DE ARAUJO,277.011,6221,21.38,96.9,0.655,-,15486.40741,15011.71961,11262.44,
S&atilde;o Jos&eacute; de Mipibu,2412203,mipibuense,JOS&Eacute; DE FIGUEIREDO VARELA,289.987,44566,137.00,96.3,0.611,18.73,96645.26108,92981.4624,18564.96,
S&atilde;o Jos&eacute; do Campestre,2412302,campestrense,JOSEILSON BORGES DA COSTA,341.115,12901,36.22,96.9,0.615,7.81,25869.86539,24795.77157,7866.25,
S&atilde;o Jos&eacute; do Serid&oacute;,2412401,s&atilde;o-jos&eacute;-seridoense,JACKSON DANTAS,174.505,4696,24.25,97.1,0.694,51.72,17452.07426,16430.08002,25760.64,
S&atilde;o Miguel,2412500,s&atilde;o-miguelense,C&Eacute;LIO GON&Ccedil;ALVES DE QUEIR&Oacute;Z,166.233,23789,129.05,96.6,0.606,6.83,50189.8718,44926.21728,10250.81,
